epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1855,2.25319,11.8075,1.83425,0,0,0,0,1.74126,6.47696,1.73292,8e-05,8e-05,8e-05
2,13.0818,2.29047,13.3207,1.80855,0.00111,0.30769,0.00073,0.00033,1.55782,5.80807,1.47285,0.000179644,0.000179644,0.000179644
3,16.1274,1.87232,9.42237,1.51777,0,0,0,0,1.48459,5.60671,1.33216,0.000278891,0.000278891,0.000278891
4,19.0939,1.72328,9.08447,1.36327,0.00028,0.07692,0.00055,0.00027,1.57831,5.47849,1.41649,0.000377743,0.000377743,0.000377743
5,22.1798,1.63211,8.58381,1.40103,0.00028,0.07692,0.00053,0.00026,1.51753,5.5578,1.28829,0.000476198,0.000476198,0.000476198
6,25.224,1.66634,8.21433,1.46202,0,0,0,0,1.41885,5.48695,1.31671,0.000574258,0.000574258,0.000574258
7,28.2707,1.63416,7.81475,1.39967,0,0,0,0,1.52042,5.62263,1.34219,0.000671922,0.000671922,0.000671922
8,31.3029,1.70534,7.74422,1.4261,0.00194,0.53846,0.00153,0.0007,1.63087,5.85753,1.3791,0.000769189,0.000769189,0.000769189
9,34.3841,1.78215,6.81958,1.50284,0.00056,0.15385,0.00036,0.00015,1.81065,7.20502,1.52742,0.000866061,0.000866061,0.000866061
10,37.5146,1.61242,6.81363,1.34899,0.00111,0.30769,0.00093,0.00042,1.99059,6.48742,1.54003,0.000962536,0.000962536,0.000962536
11,40.4386,1.68258,6.16176,1.47122,0.00056,0.15385,0.00036,0.0001,1.96265,7.43417,1.59827,0.00105862,0.00105862,0.00105862
12,43.5146,1.61849,6.44036,1.42649,0.00083,0.23077,0.00058,0.00029,1.95038,6.5503,1.7259,0.0011543,0.0011543,0.0011543
13,46.5767,1.68037,6.03664,1.44791,0.00056,0.15385,0.00033,0.00013,2.16713,6.96277,1.85997,0.00124959,0.00124959,0.00124959
14,49.6898,1.6017,5.60593,1.37453,0.00278,0.76923,0.00367,0.0023,1.77335,5.7648,1.55445,0.00134448,0.00134448,0.00134448
15,52.7329,1.62474,5.75272,1.38429,0.00278,0.76923,0.01528,0.00643,1.63481,5.34953,1.53675,0.00143897,0.00143897,0.00143897
16,55.8219,1.45023,5.61257,1.35663,0.00278,0.76923,0.04646,0.02382,1.66575,5.35963,1.4837,0.00153307,0.00153307,0.00153307
17,58.8562,1.59317,4.62389,1.43968,0.00306,0.84615,0.149,0.09288,1.84241,5.49755,1.52727,0.00162678,0.00162678,0.00162678
