epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3589,2.48336,12.1197,2.0787,0.00056,0.15385,0.00033,8e-05,1.71407,6.02917,1.65596,8e-05,8e-05,8e-05
2,13.2882,2.0779,12.0382,1.69941,0,0,0,0,1.5205,5.61553,1.44788,0.000179644,0.000179644,0.000179644
3,16.2637,1.9543,10.5706,1.6793,0.00028,0.07692,0.00022,2e-05,1.48487,5.30407,1.39258,0.000278891,0.000278891,0.000278891
4,19.2419,1.89854,9.38451,1.59321,0.00028,0.07692,0.00019,2e-05,1.30953,5.42451,1.34089,0.000377743,0.000377743,0.000377743
5,22.3313,1.62816,9.01953,1.43602,0,0,0,0,1.44002,5.45605,1.39946,0.000476198,0.000476198,0.000476198
6,25.4376,1.77168,8.20702,1.49559,0.00056,0.15385,0.00129,0.0003,1.52904,5.58393,1.35871,0.000574258,0.000574258,0.000574258
7,28.4928,1.76641,7.91004,1.43332,0.00028,0.07692,0.00018,5e-05,1.64801,5.78289,1.43208,0.000671922,0.000671922,0.000671922
8,31.5289,1.8711,8.7004,1.42937,0.00028,0.07692,0.00017,2e-05,1.62374,5.83149,1.50337,0.000769189,0.000769189,0.000769189
9,34.4648,1.66069,7.23671,1.3965,0,0,0,0,1.67161,5.77306,1.46795,0.000866061,0.000866061,0.000866061
10,37.3942,1.68489,7.23151,1.36677,0.00028,0.07692,0.00016,2e-05,1.69777,5.63075,1.47715,0.000962536,0.000962536,0.000962536
11,40.372,1.66396,6.30272,1.39575,0.00028,0.07692,0.00016,2e-05,1.63187,5.96188,1.47551,0.00105862,0.00105862,0.00105862
12,43.3341,1.624,6.95761,1.36557,0.00056,0.15385,0.00074,7e-05,1.60058,5.68369,1.36767,0.0011543,0.0011543,0.0011543
13,46.2598,1.83136,6.25862,1.54972,0.00028,0.07692,0.00062,0.00012,1.66924,5.66187,1.3828,0.00124959,0.00124959,0.00124959
14,49.211,1.59609,5.85656,1.36946,0.00167,0.46154,0.00143,0.00053,1.52314,5.4773,1.36801,0.00134448,0.00134448,0.00134448
15,52.2053,1.63604,5.71308,1.42084,0.00111,0.30769,0.001,0.00041,1.89189,5.89881,1.77073,0.00143897,0.00143897,0.00143897
16,55.3192,1.48893,5.9246,1.35484,0.35975,0.15385,0.14483,0.05488,1.86975,5.65436,1.70851,0.00153307,0.00153307,0.00153307
17,58.4784,1.60123,5.36851,1.41456,0.11765,0.23077,0.06548,0.02472,1.89699,6.50414,1.64159,0.00162678,0.00162678,0.00162678
18,61.5912,1.54555,4.9352,1.30991,0.15448,0.23077,0.06257,0.01604,1.89568,5.98923,1.64704,0.00172009,0.00172009,0.00172009
19,64.5882,1.72729,4.97044,1.43918,0.19258,0.23077,0.10847,0.0437,1.73908,5.45326,1.69604,0.001813,0.001813,0.001813
20,67.6603,1.81193,5.37227,1.41978,0.6285,0.30769,0.32995,0.13198,1.75632,3.8586,1.59488,0.00190551,0.00190551,0.00190551
21,70.6921,1.57028,4.64685,1.31374,0.49918,0.46154,0.34775,0.14405,1.68952,3.57213,1.62614,0.0019208,0.0019208,0.0019208
22,73.7613,1.53238,4.33987,1.32159,0.2774,0.35547,0.19189,0.09054,1.73761,3.72253,1.58095,0.00191684,0.00191684,0.00191684
23,76.8476,1.59079,4.58082,1.35452,0.37468,0.30769,0.25297,0.14708,1.76735,3.71002,1.56706,0.00191288,0.00191288,0.00191288
24,79.9366,1.49455,4.25603,1.30773,0.16488,0.30769,0.09568,0.03602,1.8963,5.0259,1.6412,0.00190892,0.00190892,0.00190892
25,83.0609,1.3978,3.72343,1.28075,0.22507,0.38462,0.17258,0.07626,1.73688,5.53511,1.60148,0.00190496,0.00190496,0.00190496
26,86.1535,1.51983,4.00111,1.28737,0.14944,0.53846,0.11942,0.0667,1.6412,8.29896,1.56819,0.001901,0.001901,0.001901
27,89.3038,1.44006,3.29241,1.24886,0.12847,0.23077,0.06244,0.0289,1.71183,11.6795,1.63171,0.00189704,0.00189704,0.00189704
28,92.4551,1.39058,3.27808,1.3026,0.14709,0.46154,0.15935,0.07417,1.59284,6.94425,1.57231,0.00189308,0.00189308,0.00189308
29,95.3996,1.31769,3.30305,1.21588,0.56483,0.38462,0.38993,0.2175,1.69352,3.64272,1.59316,0.00188912,0.00188912,0.00188912
30,98.4577,1.35473,2.98917,1.18406,0.4596,0.30769,0.37464,0.24803,1.78588,3.43544,1.65064,0.00188516,0.00188516,0.00188516
31,101.528,1.42178,3.00346,1.30371,0.58561,0.46154,0.4601,0.21214,1.73218,3.50264,1.63265,0.0018812,0.0018812,0.0018812
32,104.626,1.31127,2.67699,1.1833,0.49198,0.38462,0.38471,0.17487,1.95978,4.55341,1.63884,0.00187724,0.00187724,0.00187724
33,107.753,1.39451,2.71469,1.25507,0.90406,0.30769,0.48311,0.16769,1.95024,3.10648,1.70586,0.00187328,0.00187328,0.00187328
34,110.812,1.27288,2.78475,1.20565,0.47964,0.38462,0.42004,0.13543,1.96164,3.2232,1.71163,0.00186932,0.00186932,0.00186932
35,113.862,1.36747,3.06962,1.21006,0.63579,0.30769,0.36584,0.14608,1.97683,4.06579,1.77347,0.00186536,0.00186536,0.00186536
36,116.898,1.36045,2.77081,1.27076,0.23106,0.46154,0.2414,0.10277,1.9489,3.3168,1.66821,0.0018614,0.0018614,0.0018614
37,120.135,1.31931,2.39299,1.22945,0.23189,0.53846,0.24998,0.0982,1.95933,3.66193,1.68993,0.00185744,0.00185744,0.00185744
38,123.398,1.31891,2.32311,1.2635,0.21499,0.30769,0.18934,0.07328,1.96334,3.15873,1.7146,0.00185348,0.00185348,0.00185348
39,126.496,1.42658,2.39455,1.35126,0.25306,0.30769,0.19669,0.08803,1.77801,2.87499,1.62239,0.00184952,0.00184952,0.00184952
40,129.655,1.3548,2.2188,1.26854,0.21379,0.30769,0.11854,0.05914,1.79438,3.60265,1.53665,0.00184556,0.00184556,0.00184556
41,132.757,1.34161,2.18227,1.19211,0.29689,0.30769,0.24305,0.13231,1.84314,3.80942,1.56104,0.0018416,0.0018416,0.0018416
42,135.78,1.26086,2.14071,1.19537,0.41885,0.38462,0.26509,0.12166,1.97924,4.66179,1.70651,0.00183764,0.00183764,0.00183764
43,138.893,1.2914,2.08214,1.18433,0.33008,0.38462,0.29328,0.12521,1.96659,4.9495,1.62503,0.00183368,0.00183368,0.00183368
44,141.964,1.27843,2.16727,1.14456,0.42085,0.30769,0.23486,0.10895,1.97692,11.2465,1.52096,0.00182972,0.00182972,0.00182972
45,145.071,1.33258,2.20201,1.14973,0.17902,0.30769,0.1884,0.06702,1.9879,19.37,1.63444,0.00182576,0.00182576,0.00182576
46,148.081,1.24577,2.01839,1.12458,0.18141,0.30769,0.20624,0.09116,1.85895,19.9232,1.56231,0.0018218,0.0018218,0.0018218
47,151.229,1.13459,1.86493,1.13291,0.1591,0.30769,0.09688,0.04566,1.86402,17.1743,1.57281,0.00181784,0.00181784,0.00181784
48,154.394,1.25242,1.74921,1.14729,0.53366,0.38462,0.46606,0.17969,1.94685,2.86239,1.75932,0.00181388,0.00181388,0.00181388
49,157.44,1.20239,1.91086,1.1187,0.62113,0.37905,0.35467,0.18144,1.84512,3.01779,1.67339,0.00180992,0.00180992,0.00180992
50,160.433,1.15032,1.86882,1.09638,0.50688,0.53846,0.5151,0.22544,1.81561,2.24514,1.68694,0.00180596,0.00180596,0.00180596
51,163.392,1.20946,1.60405,1.1148,0.79062,0.58291,0.63755,0.25304,1.89546,1.98909,1.691,0.001802,0.001802,0.001802
52,166.462,1.21611,1.60694,1.15906,0.63787,0.38462,0.43759,0.17738,1.85409,2.38321,1.73061,0.00179804,0.00179804,0.00179804
53,169.492,1.18352,1.4943,1.11815,0.47573,0.46154,0.4513,0.17882,1.85883,2.49904,1.70182,0.00179408,0.00179408,0.00179408
54,172.474,1.14899,1.49139,1.11776,0.43944,0.38462,0.3822,0.15483,1.84843,2.64657,1.68325,0.00179012,0.00179012,0.00179012
55,175.496,1.23619,1.64072,1.13489,0.65459,0.38462,0.43211,0.15295,1.75728,2.55252,1.62002,0.00178616,0.00178616,0.00178616
56,178.599,1.23624,1.47625,1.11923,0.78026,0.30769,0.37262,0.1926,1.90601,2.25575,1.84201,0.0017822,0.0017822,0.0017822
57,181.562,1.22732,1.48422,1.13032,0.46441,0.38462,0.38505,0.18896,2.00797,2.21958,1.83782,0.00177824,0.00177824,0.00177824
58,184.617,1.2261,1.45499,1.13374,0.63133,0.30769,0.37874,0.19268,2.01028,2.45735,1.78354,0.00177428,0.00177428,0.00177428
59,187.949,1.1869,1.4941,1.11694,0.96507,0.23077,0.36279,0.17587,2.00319,2.65393,1.82978,0.00177032,0.00177032,0.00177032
60,190.936,1.14966,1.44783,1.08254,0.74662,0.22765,0.32495,0.14795,2.05007,2.48742,1.73747,0.00176636,0.00176636,0.00176636
