epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1229,2.16965,11.4897,1.79628,0.00028,0.07692,0.00015,8e-05,1.8601,6.06714,1.73855,8e-05,8e-05,8e-05
2,12.9367,2.17174,12.156,1.75388,0.00028,0.07692,0.00015,8e-05,1.60084,5.88457,1.52298,0.000179644,0.000179644,0.000179644
3,15.879,1.78912,9.17396,1.49381,0.00056,0.15385,0.00032,8e-05,1.91068,6.11128,1.7545,0.000278891,0.000278891,0.000278891
4,18.7964,1.87944,9.1723,1.5786,0.00056,0.15385,0.00032,0.00011,1.88185,6.12908,1.6979,0.000377743,0.000377743,0.000377743
5,21.857,1.8876,8.69332,1.51293,0.00028,0.07692,0.00021,4e-05,1.86315,6.11022,1.65665,0.000476198,0.000476198,0.000476198
6,24.6806,1.68524,7.698,1.39975,0,0,0,0,1.65566,5.82593,1.45223,0.000574258,0.000574258,0.000574258
7,27.539,1.73835,7.01896,1.39294,0,0,0,0,1.85625,5.5506,1.65568,0.000671922,0.000671922,0.000671922
8,30.4685,1.78996,7.14763,1.40741,0,0,0,0,1.8516,5.98964,1.62772,0.000769189,0.000769189,0.000769189
9,33.4013,1.54502,6.11093,1.36885,0.00167,0.46154,0.17187,0.08579,2.21185,5.69618,1.75794,0.000866061,0.000866061,0.000866061
10,36.3036,1.62887,6.11725,1.3353,0.00139,0.38462,0.07736,0.05402,1.97189,5.37449,1.50753,0.000962536,0.000962536,0.000962536
11,39.2699,1.71874,5.32281,1.3893,0.00222,0.61538,0.22072,0.13087,1.85156,5.76227,1.42913,0.00105862,0.00105862,0.00105862
12,42.4141,1.7127,6.43097,1.33281,0.50614,0.15857,0.24326,0.09753,1.92757,5.21319,1.43906,0.0011543,0.0011543,0.0011543
13,45.3429,1.72665,5.38715,1.36027,0.18764,0.15385,0.12193,0.05603,1.73477,4.69044,1.37045,0.00124959,0.00124959,0.00124959
14,48.3684,1.4312,4.82883,1.27445,0.21859,0.23077,0.12989,0.04693,1.84506,4.04961,1.48721,0.00134448,0.00134448,0.00134448
15,51.1908,1.54673,5.43398,1.35145,0.22131,0.24109,0.15857,0.08715,1.89045,3.94933,1.57495,0.00143897,0.00143897,0.00143897
16,54.0673,1.48751,4.9802,1.36259,0.27708,0.07692,0.14597,0.0845,1.70905,3.93332,1.46542,0.00153307,0.00153307,0.00153307
17,56.8973,1.61393,4.25388,1.39406,0.31802,0.1118,0.16836,0.05779,1.85518,3.90793,1.49181,0.00162678,0.00162678,0.00162678
18,59.6928,1.50288,4.20539,1.27241,0.53618,0.53846,0.39531,0.20513,1.91431,3.34471,1.53419,0.00172009,0.00172009,0.00172009
19,62.6235,1.54619,4.00649,1.33197,0.72937,0.46154,0.50875,0.2212,1.85136,3.1294,1.62119,0.001813,0.001813,0.001813
20,65.6117,1.48889,4.3232,1.18821,0.24835,0.58515,0.32967,0.13333,1.78369,3.69426,1.55838,0.00190551,0.00190551,0.00190551
21,68.574,1.38479,3.85892,1.2403,0.89339,0.07692,0.12633,0.07509,1.70627,3.55355,1.50644,0.0019208,0.0019208,0.0019208
22,71.5665,1.5504,3.81533,1.33424,0.1242,0.46154,0.1769,0.08962,1.92376,3.66933,1.66867,0.00191684,0.00191684,0.00191684
23,74.5996,1.54056,3.96484,1.28494,0.37989,0.61538,0.35597,0.1338,2.13719,4.69689,1.73148,0.00191288,0.00191288,0.00191288
24,77.7434,1.45377,3.70215,1.23075,0.56225,0.46154,0.44985,0.18286,2.13176,3.49955,1.81225,0.00190892,0.00190892,0.00190892
25,80.7695,1.40637,3.25498,1.24268,0.46342,0.38462,0.32888,0.20347,2.25343,4.33836,2.0303,0.00190496,0.00190496,0.00190496
26,83.64,1.47556,3.4203,1.2528,0.32386,0.46154,0.3394,0.12187,2.29504,3.26802,1.80651,0.001901,0.001901,0.001901
