epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78165,2.17546,41.7985,1.65094,0.00056,0.15385,0.00047,0.00018,1.72329,9.6703,1.58217,8e-05,8e-05,8e-05
2,14.6878,2.59679,55.7607,1.95278,0.00083,0.23077,0.00055,0.00027,1.79408,11.5551,1.60161,0.000179644,0.000179644,0.000179644
3,19.2153,2.22667,39.0001,1.82045,0,0,0,0,1.59943,15.1291,1.53842,0.000278891,0.000278891,0.000278891
4,23.6203,2.34116,15.82,1.85923,0.00083,0.23077,0.00059,0.00032,1.79538,21.3176,1.56657,0.000377743,0.000377743,0.000377743
5,28.2132,1.96879,8.5014,1.56124,0.02134,0.07692,0.00375,0.0013,2.42074,28.5303,1.54039,0.000476198,0.000476198,0.000476198
6,32.821,1.95287,6.00444,1.39337,0.24513,0.15385,0.10019,0.06607,2.08786,12.6237,1.52485,0.000574258,0.000574258,0.000574258
7,37.3817,1.79085,5.05201,1.32513,0.00222,0.61538,0.00261,0.00084,1.80621,7.79068,1.44368,0.000671922,0.000671922,0.000671922
8,41.8529,1.86874,5.23131,1.48479,0.00139,0.38462,0.0012,0.00044,2.1382,46.05,1.78574,0.000769189,0.000769189,0.000769189
9,46.3936,1.80001,3.62569,1.55045,0.00056,0.15385,0.00032,9e-05,2.76811,522.257,2.36733,0.000866061,0.000866061,0.000866061
10,50.9471,1.97677,3.96105,1.45851,0.00836,0.30769,0.00492,0.00204,2.19394,96.8388,1.81001,0.000962536,0.000962536,0.000962536
11,55.4971,1.82695,3.10312,1.41979,0.00803,0.30769,0.00559,0.00227,1.91289,18.5133,1.736,0.00105862,0.00105862,0.00105862
12,60.0259,1.73193,3.10928,1.37266,0.00878,0.07692,0.0023,0.00121,1.97297,19.2473,2.04947,0.0011543,0.0011543,0.0011543
13,64.699,1.87447,2.87852,1.53433,0.00111,0.30769,0.00079,0.00029,2.19028,9.5292,2.21158,0.00124959,0.00124959,0.00124959
14,69.2726,1.53478,2.28745,1.26873,0.3143,0.07692,0.0664,0.04599,2.30471,3.1878,2.12656,0.00134448,0.00134448,0.00134448
15,73.9331,1.78092,2.26958,1.49102,0.00184,0.15385,0.00288,0.00029,3.49142,5.13344,2.62531,0.00143897,0.00143897,0.00143897
16,78.6229,1.49417,3.16598,1.31509,0,0,0,0,3.35309,7.02082,2.92588,0.00153307,0.00153307,0.00153307
17,83.3068,1.73669,2.46212,1.41509,0.00028,0.07692,0.00016,3e-05,4.12595,12.5618,8.1195,0.00162678,0.00162678,0.00162678
18,88.0518,1.68111,2.46289,1.40943,0.00388,0.15385,0.0011,0.00035,4.1826,262.074,7.22257,0.00172009,0.00172009,0.00172009
19,92.9632,1.68159,2.25957,1.4556,0.00139,0.38462,0.00152,0.00056,2.70709,6.55226,2.23883,0.001813,0.001813,0.001813
20,97.9092,1.72632,2.83505,1.3831,0.00028,0.07692,0.00023,0.00014,3.67912,7.90489,2.87895,0.00190551,0.00190551,0.00190551
21,102.886,1.60251,2.14312,1.34597,0.00028,0.07692,0.00017,7e-05,4.13709,29.3905,4.44541,0.0019208,0.0019208,0.0019208
22,107.928,1.52048,2.20281,1.41409,0,0,0,0,3.69391,15.6276,3.62323,0.00191684,0.00191684,0.00191684
23,113.081,1.60958,2.17681,1.30721,0.00117,0.23077,0.0006,9e-05,4.03274,375.959,10.7761,0.00191288,0.00191288,0.00191288
24,118.283,1.44157,1.95275,1.24536,0,0,0,0,4.30295,16.5407,5.51451,0.00190892,0.00190892,0.00190892
25,123.596,1.51747,2.01032,1.35458,0,0,0,0,0,3.18555,0,0.00190496,0.00190496,0.00190496
26,128.995,1.61018,1.94179,1.38519,0.22899,0.07692,0.02567,0.01422,3.48348,6.14775,3.62819,0.001901,0.001901,0.001901
27,134.369,1.55695,1.70825,1.33175,0.71269,0.07692,0.08192,0.03309,2.34526,5.26857,2.0942,0.00189704,0.00189704,0.00189704
28,139.669,1.47637,1.46053,1.28338,0.43816,0.38462,0.3148,0.15205,2.05148,3.61619,1.71565,0.00189308,0.00189308,0.00189308
29,144.994,1.34708,1.45254,1.2558,0.5335,0.30769,0.36549,0.21175,1.7827,4.12151,1.63982,0.00188912,0.00188912,0.00188912
30,150.273,1.36837,1.67824,1.22003,0.49446,0.46154,0.41434,0.23069,1.89954,3.74705,1.81022,0.00188516,0.00188516,0.00188516
31,155.429,1.65092,2.03215,1.46967,0.76619,0.30769,0.39075,0.18525,1.84256,2.21742,1.77294,0.0018812,0.0018812,0.0018812
32,160.664,1.26764,1.5954,1.27501,0,0,0,0,4.02628,20.931,6.88429,0.00187724,0.00187724,0.00187724
33,165.795,1.38184,1.39912,1.25723,0,0,0,0,4.44507,1106.37,12.3173,0.00187328,0.00187328,0.00187328
34,170.844,1.35257,1.3329,1.23039,0,0,0,0,4.08639,264.369,5.10887,0.00186932,0.00186932,0.00186932
35,175.83,1.43121,1.23955,1.27234,0.298,0.19815,0.20473,0.11289,2.27855,3.54723,1.91403,0.00186536,0.00186536,0.00186536
36,180.828,1.51194,1.33716,1.32056,0.53124,0.23077,0.26773,0.14411,2.10527,8.84375,1.7637,0.0018614,0.0018614,0.0018614
37,185.812,1.3877,1.4379,1.24709,0.38001,0.30769,0.32666,0.16663,2.31875,4.31252,1.99035,0.00185744,0.00185744,0.00185744
38,190.889,1.36133,1.37,1.25963,0.48368,0.30769,0.29398,0.14133,2.16626,4.60654,1.91406,0.00185348,0.00185348,0.00185348
39,195.959,1.49567,1.42283,1.3741,0.29473,0.30769,0.25948,0.14497,2.2568,5.91819,1.95806,0.00184952,0.00184952,0.00184952
40,201.015,1.35145,1.14443,1.23892,0.32608,0.30769,0.27005,0.10428,2.31705,5.26397,2.04248,0.00184556,0.00184556,0.00184556
41,206.15,1.44353,1.23207,1.25318,0.59918,0.30769,0.29618,0.14969,2.04951,3.8041,1.92446,0.0018416,0.0018416,0.0018416
42,211.239,1.41583,1.22756,1.25226,0.61035,0.38462,0.38808,0.16,2.125,3.40323,1.97774,0.00183764,0.00183764,0.00183764
43,216.37,1.33652,1.06694,1.19016,0.42293,0.38462,0.34261,0.16798,2.06648,3.14364,1.87619,0.00183368,0.00183368,0.00183368
44,221.536,1.37674,1.21533,1.21705,0.30808,0.51454,0.34348,0.16488,1.98695,3.34135,1.85379,0.00182972,0.00182972,0.00182972
45,226.61,1.41956,1.15695,1.23607,0.36761,0.46154,0.35142,0.18361,1.92658,3.07736,1.7878,0.00182576,0.00182576,0.00182576
46,231.716,1.3255,1.10586,1.245,0.46053,0.61538,0.46962,0.22449,1.89891,2.5599,1.64474,0.0018218,0.0018218,0.0018218
47,236.749,1.2479,1.04829,1.18699,0.68048,0.38462,0.48176,0.17573,1.67751,2.8972,1.53873,0.00181784,0.00181784,0.00181784
48,241.873,1.24625,1.08759,1.17709,0.74492,0.53846,0.54846,0.27431,1.62305,2.27568,1.56967,0.00181388,0.00181388,0.00181388
49,247.048,1.38814,1.19069,1.22859,0.52302,0.46154,0.40808,0.23541,1.7011,2.34105,1.69742,0.00180992,0.00180992,0.00180992
50,252.123,1.32481,1.15444,1.21341,0.7878,0.53846,0.60481,0.23689,1.66117,3.19162,1.70375,0.00180596,0.00180596,0.00180596
51,257.287,1.28506,0.98916,1.20116,0.62384,0.46154,0.44929,0.2573,1.68331,2.60021,1.71807,0.001802,0.001802,0.001802
52,262.326,1.12782,0.99117,1.11808,0.49534,0.38462,0.32656,0.16141,1.70946,2.50015,1.76179,0.00179804,0.00179804,0.00179804
53,267.329,1.22956,0.86897,1.15862,0.53353,0.38462,0.38094,0.17026,1.72622,2.73762,1.713,0.00179408,0.00179408,0.00179408
54,272.34,1.13475,0.85017,1.12364,0.436,0.46154,0.36861,0.19674,1.73916,2.91912,1.75671,0.00179012,0.00179012,0.00179012
55,277.378,1.0871,0.83836,1.06395,0.36689,0.58044,0.34112,0.17961,1.76579,2.87488,1.65187,0.00178616,0.00178616,0.00178616
56,282.51,1.11818,0.85982,1.1037,0.78396,0.61538,0.61192,0.24591,1.7486,2.78586,1.56637,0.0017822,0.0017822,0.0017822
57,287.606,1.1036,0.8257,1.09915,0.84177,0.61538,0.66701,0.28025,1.58658,2.63907,1.5125,0.00177824,0.00177824,0.00177824
58,292.744,1.10798,0.81006,1.10548,0.69923,0.61538,0.62133,0.25647,1.62071,2.28949,1.55161,0.00177428,0.00177428,0.00177428
59,297.824,1.12671,0.94163,1.11642,0.77646,0.53481,0.59274,0.31436,1.54458,2.18948,1.53415,0.00177032,0.00177032,0.00177032
60,302.974,1.02142,0.85655,1.10223,0.81217,0.38462,0.42918,0.21761,1.69825,2.80268,1.67104,0.00176636,0.00176636,0.00176636
